franchID,parkkey,park,alias,city,state,firstYear,lastYear
ND,BLO01,General Electric Field,Sprague Field,Bloomfield,NJ,1934,1934
ND,NWK03,Ollemar Stadium,Ollemar Field,Irvington,NJ,1935,1935
NE,NYC15,Ebbets Field,,Brooklyn,NY,1935,1935
NE,NWK02,Ruppert Stadium,"Davids Stadium, Davids' stadium",Newark,NJ,1936,1948
NEW,IND07,Federal League Park,Washington Park,Indianapolis,IN,1914,1914
NEW,HAR01,Harrison Field,Federal Baseball Park,Harrison,NJ,1915,1915
NS,NWK02,Davids Stadium,Ruppert Stadium,Newark,NJ,1926,1926
OKM,OKC01,Colcord Park,Saratoga Park,Oklahoma City,OK,1910,1910
PNA,PHI01,Jefferson Street Grounds,"Athletics Park, Twenty-Fifth and Jefferson Streets, Olympic Ball Ground",Philadelphia,PA,1871,1875
ATH,PHI01,Jefferson Street Grounds,"Athletics Park, Twenty-Fifth and Jefferson Streets, Olympic Ball Ground",Philadelphia,PA,1876,1876
PHA,PHI03,Oakdale Park,,Philadelphia,PA,1882,1882
PHA,PHI01,Jefferson Street Grounds,"Athletics Park, Twenty-Fifth and Jefferson Streets, Olympic Ball Ground",Philadelphia,PA,1883,1890
PHQ,PHI07,Forepaugh Park,Brotherhood Park,Philadelphia,PA,1890,1890
PHQ,KAN01,Athletic Park,,Kansas City,MO,1891,1891
PBG,PHI16,Passon Field,,Philadelphia,PA,1934,1934
CEN,PHI02,Centennial Grounds,Centennial Park,Philadelphia,PA,1875,1875
PG,PHI10,Columbia Park,Columbia Avenue Grounds,Philadelphia,PA,1903,1906
PG,PHI09,Baker Bowl,"Philadelphia Baseball Grounds, National League Park",Philadelphia,PA,1907,1907
PG,PHI10,Columbia Park,Columbia Avenue Grounds,Philadelphia,PA,1908,1908
PHK,PHI05,Keystone Park,,Philadelphia,PA,1884,1884
PHI,PHI04,Recreation Park,,Philadelphia,PA,1883,1886
PHI,PHI06,Philadelphia Baseball Grounds,"Huntingdon Grounds I, National League Park",Philadelphia,PA,1887,1894
PHI,PHI09,Baker Bowl,National League Park,Philadelphia,PA,1895,1938
PHI,PHI11,Shibe Park,,Philadelphia,PA,1938,1952
PHI,PHI11,Connie Mack Stadium,,Philadelphia,PA,1953,1970
PHI,PHI12,Veterans Stadium,,Philadelphia,PA,1971,2003
PHI,PHI13,Citizens Bank Park,,Philadelphia,PA,2004,2025
PS,YEA01,Hilldale Park,,Yeadon,PA,1933,1933
PS,PHI16,Passon Field,,Philadelphia,PA,1934,1934
PS,PHI15,PRR-YMCA Field,"P.R.R. YMCA Athletic Field, Penmar Park, 44th and Parkside ballpark",Philadelphia,PA,1935,1935
PS,PHI15,44th & Parkside,"P.R.R. YMCA Athletic Field, Penmar Park, 44th and Parkside ballpark",Philadelphia,PA,1936,1938
PS,PHI15,Parkside Athletic Field,"P.R.R. YMCA Athletic Field, Penmar Park, 44th and Parkside ballpark",Philadelphia,PA,1939,1943
PS,PHI15,44th & Parkside,"P.R.R. YMCA Athletic Field, Penmar Park, 44th and Parkside ballpark",Philadelphia,PA,1944,1947
PS,PHI11,Shibe Park,Connie Mack Stadium,Philadelphia,PA,1948,1948
PTG,PHI17,Pencoyd Field,"Bala Cynwyd Park, Pencoyd Park",Philadelphia,PA,1928,1928
PWS,PHI01,Jefferson Street Grounds,"Athletics Park, Twenty-Fifth and Jefferson Streets, Olympic Ball Ground",Philadelphia,PA,1873,1875
PBB,PIT05,Exposition Park III,,Pittsburgh,PA,1890,1890
PBK,PIT09,Central Park,Central Amusement Park,Pittsburgh,PA,1922,1922
PIT,PIT02,Exposition Park I,,Pittsburgh,PA,1882,1883
PIT,PIT04,Recreation Park,"Union Park, 3A Park, the Coliseum",Pittsburgh,PA,1884,1890
PIT,KAN03,Exposition Park,,Kansas City,MO,1891,1909
PIT,PIT06,Forbes Field,,Pittsburgh,PA,1909,1970
PIT,PIT07,Three Rivers Stadium,,Pittsburgh,PA,1970,2000
PIT,PIT08,PNC Park,,Pittsburgh,PA,2001,2025
PBS,PIT05,Exposition Park III,,Pittsburgh,PA,1914,1915
PRO,PRO02,Messer Street Grounds,"Messer Park, Messer Field",Providence,RI,1878,1885
RIC,,Allen Pasture,,,,1884,1884
ROC,ROC01,Culver Field I,,Rochester,NY,1890,1890
ROK,RCK01,Agricultural Society Fair Grounds,Fair Grounds Park,Rockford,IL,1871,1871
SDP,SAN01,Jack Murphy Stadium,"San Diego Stadium, SDCCU Stadium",San Diego,CA,1969,1996
SDP,SAN01,Qualcomm Stadium,"San Diego Stadium, SDCCU Stadium",San Diego,CA,1997,2003
SDP,SAN02,Petco Park,,San Diego,CA,2004,2025
SFG,,Polo Grounds I,,,,1883,1888
SFG,,Polo Grounds II,,,,1889,1890
SFG,NYC09,Polo Grounds III,"New Polo Grounds, Manhattan Field",New York,NY,1891,1911
SFG,NYC10,Polo Grounds IV,"New Polo Grounds, Brotherhood Park",New York,NY,1911,1957
SFG,SFO01,Seals Stadium,,San Francisco,CA,1958,1959
SFG,SFO02,Candlestick Park,"Bay View Stadium, 3Com Park at Candlestick Point",San Francisco,CA,1960,1996
SFG,SFO02,3Com Park,"Bay View Stadium, 3Com Park at Candlestick Point",San Francisco,CA,1997,1999
SFG,,PacBell Park,,,,2000,2003
SFG,SFO03,SBC Park,Pacific Bell Park,San Francisco,CA,2004,2005
SFG,SFO03,AT&T Park,Pacific Bell Park,San Francisco,CA,2006,2018
SFG,,Oracle Park,,,,2019,2025
MOH,SCH01,Island Park,Van Slyck Island,Schenectady,NY,1913,1913
SEA,SEA02,Kingdome,King County Stadium,Seattle,WA,1977,1999
SEA,SEA03,Safeco Field,,Seattle,WA,1999,2018
SEA,SEA03,T-Mobile Park,,Seattle,WA,2019,2025
SNA,STL02,Grand Avenue Park,"Grand Avenue Ball Grounds, Sportsman's Park, Athletic Park",St. Louis,MO,1875,1875
SBS,STL03,Sportsman's Park I,"Grand Avenue Ball Grounds, Grand Avenue Park, Athletic Park",St. Louis,MO,1876,1877
STL,STL03,Sportsman's Park I,"Grand Avenue Ball Grounds, Grand Avenue Park, Athletic Park",St. Louis,MO,1882,1892
STL,STL05,Robison Field,"New Sportsmans' Park, League Park, Cardinal Field",St. Louis,MO,1893,1920
STL,,Sportsman's Park IV,,,,1920,1966
STL,STL09,Busch Stadium II,Busch Memorial Stadium,St. Louis,MO,1966,2005
STL,STL10,Busch Stadium III,,St. Louis,MO,2006,2025
SLM,STL04,Union Base Ball Park,"Union Grounds, Lucas Park",St. Louis,MO,1884,1884
SLM,STL03,Sportsman's Park I,"Grand Avenue Ball Grounds, Grand Avenue Park, Athletic Park",St. Louis,MO,1885,1886
SLR,STL01,Red Stocking Baseball Park,Compton Avenue Park,St. Louis,MO,1875,1875
SLS,STL02,Athletic Park,"Grand Avenue Ball Grounds, Sportsman's Park, Grand Avenue Park",St. Louis,MO,1911,1912
SLS,STL14,Kuebler Park,"Kuebler's Park, Giants Park I",St. Louis,MO,1915,1915
SLS,STL12,Christian Brothers College Diamond,"Christian Brothers College High School, CBC High School",St. Louis,MO,1916,1916
SLS,STL13,Giants Park II,Metropolitan Park,St. Louis,MO,1920,1921
SLS,STL16,Stars Park,,St. Louis,MO,1922,1931
SL2,STL13,Metropolitan Park,Giants Park II,St. Louis,MO,1937,1937
SLI,STL08,Handlan's Park,Federal League Park,St. Louis,MO,1914,1915
SPG,SPA02,Downtown Park,,St. Paul,MN,1909,1909
STP,SPA01,West Seventh Street Park,"Fort Street Grounds, Fort Road Grounds",St. Paul,MN,1884,1884
SYR,SYR01,Newell Park,Star Park I,Syracuse,NY,1879,1879
SYS,SYR02,Star Park II,,Syracuse,NY,1890,1890
TBD,STP01,Tropicana Field,"Florida Suncoast Dome, ThunderDome",St. Petersburg,FL,1998,2024
TBD,,Steinbrenner Field,,,,2025,2025
TEX,,Griffith Stadium II,,,,1961,1961
TEX,,R.F.K. Stadium,,,,1962,1971
TEX,ARL01,Arlington Stadium,,Arlington,TX,1972,1993
TEX,,The Ballpark at Arlington,,,,1994,2004
TEX,,Ameriquest Field,,,,2005,2006
TEX,ARL02,Rangers Ballpark in Arlington,"The Ballpark in Arlington, Ameriquest Field in Arlington",Arlington,TX,2007,2013
TEX,ARL02,Globe Life Park in Arlington,"The Ballpark in Arlington, Ameriquest Field in Arlington",Arlington,TX,2014,2019
TEX,ARL03,Globe Life Field,,Arlington,TX,2020,2025
TOL,TOL01,League Park,,Toledo,OH,1884,1884
TLM,TOL03,Speranza Park,,Toledo,OH,1890,1890
TT,TOL05,Swayne Field,,Toledo,OH,1923,1923
PC,PIT10,Greenlee Field,,Pittsburgh,PA,1932,1938
PC,TOL05,Swayne Field,,Toledo,OH,1939,1940
TOR,TOR01,Exhibition Stadium,"Canadian National Exhibition Stadium, CNE Stadium",Toronto,ON,1977,1989
TOR,,Skydome,,,,1989,2004
TOR,TOR02,Rogers Centre,"Ontario Stadium Project, Pan-Am Dome, Pan-Am Ceremonies Venue",Toronto,ON,2005,2019
TOR,BUF05,Sahlen Field,"Pilot Field, Downtown Ballpark, North AmeriCare Park, Dunn Tire Park, Coca-Cola Field",Buffalo,NY,2020,2020
TOR,TOR02,Rogers Centre,"Ontario Stadium Project, Pan-Am Dome, Pan-Am Ceremonies Venue",Toronto,ON,2021,2025
TRO,TRO01,Haymakers' Grounds,Vail's Lot,Troy,NY,1871,1872
TRT,TRO02,Putnam Grounds,,Troy,NY,1879,1879
TRT,TRO01,Haymakers' Grounds,Vail's Lot,Troy,NY,1880,1881
TRT,WAT01,Troy Ball Club Grounds,,Watervliet,NY,1882,1882
SEN,WAS09,Griffith Stadium,"National Park, American League Park",Washington,DC,1938,1938
WBL,,Olympics Grounds,,,,1873,1873
NAT,,Nationals Grounds,,,,1872,1872
WNT,,Olympics Grounds,,,,1875,1875
WST,WAS04,Athletic Park,Washington Athletic Park,Washington,DC,1884,1884
WNA,WAS03,Capitol Grounds,Capitol Park I,Washington,DC,1884,1884
WNL,,Swampdoodle Grounds,,,,1886,1889
WSN,MON01,Jarry Park,"Stade Parc Jarry, Jarry Park Stadium",Montreal,QC,1969,1976
WSN,MON02,Stade Olympique,Olympic Stadium,Montreal,QC,1977,2003
WSN,SJU01,Hiram Bithorn Stadium,Estadio Hiram Bithorn,San Juan,,2003,2003
WSN,MON02,Stade Olympique,Olympic Stadium,Montreal,QC,2004,2004
WSN,SJU01,Hiram Bithorn Stadium,Estadio Hiram Bithorn,San Juan,,2004,2004
WSN,,R.F.K. Stadium,,,,2005,2007
WSN,WAS11,Nationals Park,,Washington,DC,2008,2025
OLY,,Olympics Grounds,,,,1871,1872
WAP,WAS09,Griffith Stadium,"National Park, American League Park",Washington,DC,1932,1932
WAS,WAS06,Boundary Field,"American League Park II, National Park, Nationals' Park",Washington,DC,1891,1899
WBS,WBS01,Sprudel Park,,West Baden Springs,IN,1910,1913
WP,WAS09,American League Park,"Griffith Stadium, National Park",Washington,DC,1924,1924
WP,WIL03,Harlan Field,,Wilmington,DE,1925,1925
WIL,WIL01,Union Street Park,,Wilmington,DE,1884,1884
WOR,WOR03,Worcester Driving Park Grounds,,Worcester,MA,1880,1882
