franchID,parkkey,park,alias,city,state,firstYear,lastYear
BUF,BUF02,Olympic Park I,,Buffalo,NY,1884,1885
BFB,BUF03,Olympic Park II,Buffalo Baseball Park,Buffalo,NY,1890,1890
BFL,BUF04,Federal League Park,International Fair Association Grounds,Buffalo,NY,1914,1915
CAG,CHI09,Schorling Park,"South Side Park III, Schorling's Park II, White Sox Park",Chicago,IL,1911,1928
CAG,,South Side Park,,,,1929,1932
CAG,IND09,Perry Stadium,"Owen J. Bush Stadium, Bush Stadium, Victory Field I",Indianapolis,IN,1933,1933
CAG,CHI09,Cole's Park,"South Side Park III, Schorling's Park II, White Sox Park",Chicago,IL,1934,1935
CAG,CHI09,American Giants Park,"South Side Park III, Schorling's Park II, White Sox Park",Chicago,IL,1936,1940
CAG,CHI10,Comiskey Park I,White Sox Park,Chicago,IL,1941,1948
CCG,CHI14,Columbia Park,,Chicago,IL,1899,1901
CCG,CHI09,South Side Park III,"Schorling Park, Schorling's Park II, Cole's Park, American Giants Park, White Sox Park",Chicago,IL,1902,1902
CHC,,23rd Street Grounds,,,,1876,1877
CHC,CHI01,Lake Front Park I,"Union Base-Ball Grounds, White-Stocking Park",Chicago,IL,1878,1882
CHC,CHI03,Lake Front Park II,"Lake-Shore Park, Lake Front Park, Lake Park",Chicago,IL,1882,1884
CHC,,West Side Park I,,,,1885,1890
CHC,CHI05,South Side Park I,"Cricket Club Grounds, Union Base Ball Park, 39th Street Grounds",Chicago,IL,1891,1893
CHC,,West Side Park II,,,,1894,1915
CHC,CHI11,Wrigley Field,"Weeghman Park, Cubs Park",Chicago,IL,1916,2025
COG,CHI18,Red Sox Park,Osterman's Red Sox park,Chicago,IL,1910,1910
COG,CHI09,Schorling Park,"South Side Park III, Schorling's Park II, Cole's Park, American Giants Park, White Sox Park",Chicago,IL,1911,1913
LEL,CHI13,Auburn Park,Schorling's Park I,Chicago,IL,1905,1907
LEL,CHI16,Logan Square Park,,Chicago,IL,1908,1909
LEL,CHI17,Normal Park,,Chicago,IL,1910,1910
CHP,CHI07,South Side Park II,"White Stocking Park, Brotherhood Park",Chicago,IL,1890,1890
CIU,CHI19,Union Park,37th and Butler St,Chicago,IL,1897,1900
CHH,CHI11,Wrigley Field,"Weeghman Park, Cubs Park",Chicago,IL,1914,1915
CHW,CHI07,South Side Park II,"White Stocking Park, Brotherhood Park",Chicago,IL,1901,1910
CHW,,Comiskey Park,,,,1910,1990
CHW,CHI12,Comiskey Park II,White Sox Park,Chicago,IL,1991,2002
CHW,CHI12,U.S. Cellular Field,White Sox Park,Chicago,IL,2003,2016
CHW,CHI12,Guaranteed Rate Field,White Sox Park,Chicago,IL,2017,2024
CHW,CHI12,Rate Field,White Sox Park,Chicago,IL,2025,2025
CNA,CHI01,Union Base-Ball Grounds,"Lake Front Park I, White-Stocking Park",Chicago,IL,1871,1871
CNA,,23rd Street Grounds,,,,1874,1875
CPI,,South Side Park,,,,1884,1884
CPI,KAN03,Exposition Park,,Kansas City,MO,1884,1884
CKK,PEN01,East End Park,Pendleton Park,Cincinnati,OH,1891,1891
COR,CIN03,Bank Street Grounds,Union Athletic Park,Cincinnati,OH,1884,1884
CNR,CIN02,Avenue Grounds,"Brighton Park, Cincinnati Baseball Park",Cincinnati,OH,1876,1879
CNR,CIN03,Bank Street Grounds,Union Athletic Park,Cincinnati,OH,1880,1880
CIN,CIN03,Bank Street Grounds,Union Athletic Park,Cincinnati,OH,1882,1883
CIN,,League Park I in Cincinnati,,,,1884,1893
CIN,,League Park II in Cincinnati,,,,1894,1901
CIN,CIN06,Palace of the Fans,League Park III,Cincinnati,OH,1902,1911
CIN,CIN07,Crosley Field,Redland Field,Cincinnati,OH,1912,1970
CIN,CIN08,Riverfront Stadium,,Cincinnati,OH,1970,1996
CIN,CIN08,Cinergy Field,,Cincinnati,OH,1997,2002
CIN,CIN09,Great American Ballpark,,Cincinnati,OH,2003,2025
CT,CIN07,Crosley Field,Redland Field,Cincinnati,OH,1937,1937
CBL,CLE02,Kennard Street Park,"League Park I, National League Park I, Kennard Street Baseball Grounds",Cleveland,OH,1879,1884
CBN,CLE11,Hooper Field,"Tate Field, Slavia Hooper Field",Newburgh Heights,OH,1924,1924
CBE,CIN07,Crosley Field,Redland Field,Cincinnati,OH,1942,1942
CBE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1943,1943
CBE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1944,1948
CEL,CLE11,Hooper Field,"Tate Field, Slavia Hooper Field",Newburgh Heights,OH,1926,1926
CFC,CLE01,National Association Grounds,,Cleveland,OH,1871,1872
CLE,CLE02,League Park I,"National League Park I, Kennard Street Baseball Grounds, Kennard Street Park",Cleveland,OH,1901,1909
CLE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1910,1932
CLE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1932,1932
CLE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1933,1933
CLE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1933,1933
CLE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1934,1934
CLE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1934,1934
CLE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1935,1935
CLE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1935,1935
CLE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1936,1936
CLE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1936,1936
CLE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1937,1937
CLE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1937,1937
CLE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1938,1938
CLE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1938,1938
CLE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1939,1939
CLE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1939,1939
CLE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1940,1940
CLE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1940,1940
CLE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1941,1941
CLE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1941,1941
CLE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1942,1942
CLE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1942,1942
CLE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1943,1943
CLE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1943,1943
CLE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1944,1944
CLE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1944,1944
CLE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1945,1945
CLE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1945,1945
CLE,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1946,1946
CLE,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1946,1993
CLE,CLE08,Jacobs Field,,Cleveland,OH,1994,2011
CLE,CLE08,Progressive Field,,Cleveland,OH,2012,2025
CHT,CLE11,Hooper Field,"Tate Field, Slavia Hooper Field",Newburgh Heights,OH,1927,1927
CLI,CLE04,Brotherhood Park,Players League Park,Cleveland,OH,1890,1890
CRS,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1934,1934
CLV,CLE03,National League Park II,"League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1887,1888
CLV,BOS08,National League Park,Braves Field,Boston,MA,1889,1890
CLV,CLE02,League Park I,"National League Park I, Kennard Street Baseball Grounds, Kennard Street Park",Cleveland,OH,1891,1899
CL2,CLE12,Luna Park,Luna Bowl,Cleveland,OH,1932,1932
CTS,CLE11,Tate Field,"Hooper Field, Slavia Hooper Field",Newburgh Heights,OH,1922,1922
CTG,CLE12,Luna Park,Luna Bowl,Cleveland,OH,1928,1928
COL,DEN01,Mile High Stadium,Bears Stadium,Denver,CO,1993,1994
COL,DEN02,Coors Field,,Denver,CO,1995,2025
CBB,COL04,Neil Park II,,Columbus,OH,1933,1933
CBK,COL01,Recreation Park I,,Columbus,OH,1883,1884
COB,,Neil Park,,,,1921,1921
CLS,COL02,Recreation Park II,,Columbus,OH,1889,1891
COT,COL05,Panhandle Park,,Columbus,OH,1932,1932
CBG,MAS01,Long Island Grounds,"Maspeth Ball Grounds, Long Island Recreation Grounds",Maspeth,NY,1891,1891
CSE,NYC23,Dexter Park,,Queens,NY,1922,1922
CSE,CHI06,West Side Park,,Chicago,IL,1925,1925
CSE,NYC23,Dexter Park,,Queens,NY,1926,1926
CSE,NWK02,Davids Stadium,Ruppert Stadium,Newark,NJ,1927,1927
CSE,NYC23,Dexter Park,,Queens,NY,1928,1929
CSW,CIN07,Redland Field,Crosley Field,Cincinnati,OH,1921,1921
DYM,DAY02,Westwood Field,West Side Park,Dayton,OH,1920,1926
DS,DET06,Mack Park,,Detroit,MI,1919,1929
DS,HAM01,Hamtramck Stadium,Roesink Stadium,Hamtramck,MI,1930,1931
DTS,HAM01,Hamtramck Stadium,Roesink Stadium,Hamtramck,MI,1937,1937
DET,DET02,Bennett Park,,Detroit,MI,1901,1911
DET,DET04,Navin Field,,Detroit,MI,1912,1937
DET,DET04,Briggs Stadium,,Detroit,MI,1938,1960
DET,DET04,Tiger Stadium,,Detroit,MI,1961,1999
DET,DET05,Comerica Park,,Detroit,MI,2000,2025
DTN,DET01,Recreation Park,,Detroit,MI,1881,1888
DW,HAM01,Hamtramck Stadium,Roesink Stadium,Hamtramck,MI,1932,1932
RES,WAV01,Waverly Fairgrounds,Waverly Park,Waverly,NJ,1873,1873
KEK,FOR01,Hamilton Field,"Kekionga Ball Grounds, Grand Duchess",Fort Wayne,IN,1871,1871
FLP,FRL01,Pluto Park,,French Lick,IN,1913,1913
HBG,HSB01,Island Park,City Island,Harrisburg,PA,1924,1927
SNH,IND09,Perry Stadium,"Owen J. Bush Stadium, Bush Stadium, Victory Field I",Indianapolis,IN,1938,1938
SNH,STL15,South End Grounds,"South End Park, National Nite Baseball Park",St. Louis,MO,1939,1940
SNH,NOL01,Pelican Stadium,Heinemann Park,New Orleans,LA,1941,1941
SNH,HSB01,Island Park,City Island,Harrisburg,PA,1943,1943
HNA,HRT01,Hartford Ball Club Grounds,,Hartford,CT,1874,1875
HAR,HRT01,Hartford Ball Club Grounds,,Hartford,CT,1876,1876
HAR,,Union Grounds (Brooklyn),,,,1877,1877
HIL,YEA01,Hilldale Park,,Yeadon,PA,1918,1932
HG,PIT06,Forbes Field,,Pittsburgh,PA,1928,1931
HG,PIT10,Greenlee Field,,Pittsburgh,PA,1932,1935
HG,PIT06,Forbes Field,,Pittsburgh,PA,1936,1936
HG,PIT10,Greenlee Field,,Pittsburgh,PA,1937,1938
HG,PIT06,Forbes Field,,Pittsburgh,PA,1939,1939
HG,WAS09,Griffith Stadium,"National Park, American League Park",Washington,DC,1940,1948
HOU,HOU01,Colt Stadium,"Estadio Superior, Estadio Ángel Castro, Estadio de Béisbol Mecano, Millón de Tuercas",Houston,TX,1962,1964
HOU,HOU02,Astrodome,,Houston,TX,1965,1999
HOU,HOU03,Enron Field,"The Ballpark at Union Station, Astros Field",Houston,TX,2000,2001
HOU,HOU03,Minute Maid Park,"The Ballpark at Union Station, Astros Field",Houston,TX,2002,2024
HOU,HOU03,Daikin Park,"The Ballpark at Union Station, Astros Field",Houston,TX,2025,2025
ABC,IND08,Northwestern Park,"East Ohio Street Grounds, League Park",Indianapolis,IN,1914,1915
ABC,IND07,Federal League Park,Washington Park,Indianapolis,IN,1916,1916
ABC,IND10,Washington Park II,"Washington Baseball Park, Washington Baseball Grounds, West Washington Street Park",Indianapolis,IN,1917,1926
BCA,ATL04,Ponce De Leon Park,"Spiller Park, Spiller Field",Atlanta,GA,1932,1939
AB2,IND10,Washington Park II,"Washington Baseball Park, Washington Baseball Grounds, West Washington Street Park",Indianapolis,IN,1931,1931
AB2,IND09,Perry Stadium,"Owen J. Bush Stadium, Bush Stadium, Victory Field I",Indianapolis,IN,1932,1933
IA,IND09,Perry Stadium,"Owen J. Bush Stadium, Bush Stadium, Victory Field I",Indianapolis,IN,1937,1937
IBL,IND01,South Street Park,"South Street Grounds, National Park",Indianapolis,IN,1878,1878
IC,CIN07,Crosley Field,Redland Field,Cincinnati,OH,1943,1945
IC,IND09,Victory Field I,"Perry Stadium, Owen J. Bush Stadium, Bush Stadium",Indianapolis,IN,1946,1948
IHO,,Seventh Street Park,,,,1884,1884
IND,,Athletic Park I,,,,1887,1887
IND,IND06,Athletic Park II,"Indianapolis Park, League Park",Indianapolis,IN,1888,1889
JRC,JAX01,Durkee Field,"J. P. Small Memorial Stadium, Barrs Field, Myrtle Avenue Ball Park",Jacksonville,FL,1938,1938
JRC,CLE07,Cleveland Stadium,"Municipal Stadium, Lakefront Stadium, Cleveland Municipal Stadium",Cleveland,OH,1939,1939
JRC,CLE03,League Park II,"National League Park II, American Association Park, Association Park, Association Park",Cleveland,OH,1940,1940
JRC,JAX01,Red Cap Stadium,"J. P. Small Memorial Stadium, Barrs Field, Myrtle Avenue Ball Park",Jacksonville,FL,1941,1942
KCU,KAN01,Athletic Park,,Kansas City,MO,1884,1884
KCN,KAN02,Association Park,"Association Park I, League Park",Kansas City,MO,1886,1886
KCC,KAN02,Association Park I,"Association Park, League Park",Kansas City,MO,1888,1888
KCC,KAN03,Exposition Park,,Kansas City,MO,1889,1889
KCG,KAN08,Riverside Park,,Kansas City,KS,1909,1910
KCM,KAN07,Association Park II,,Kansas City,MO,1920,1923
KCM,KAN05,Muehlebach Field,Municipal Stadium,Kansas City,MO,1924,1937
KCM,KAN05,Ruppert Stadium,Municipal Stadium,Kansas City,MO,1938,1945
