franchID,name,active,firstYear,lastYear,seasons,W,L,pennants,titles,teamID,lgID,nameCount,former
DS,Detroit Stars,N,1919,1931,13,523,428,0,0,DS,NNL,1,
DTS,Detroit Stars,N,1937,1937,1,15,24,0,0,DTS,NAL,1,
DET,Detroit Tigers,Y,1901,2025,125,9763,9642,11,4,DET,AL,1,
DTN,Detroit Wolverines,N,1881,1888,8,426,437,1,1,DTN,NL,1,
DW,Detroit Wolves,N,1932,1932,1,20,5,0,0,DW,EWL,1,
RES,Elizabeth Resolutes,NA,1873,1873,1,2,21,0,0,ELI,NA,1,
KEK,Fort Wayne Kekiongas,NA,1871,1871,1,7,12,0,0,FW1,NA,1,
FLP,French Lick Plutos,N,1913,1913,1,12,16,0,0,FLP,WES,1,
HBG,Harrisburg Giants,N,1924,1927,4,142,107,0,0,HBG,ECL,1,
SNH,Harrisburg-St. Louis Stars,N,1938,1943,5,84,96,0,0,HSS,NN2,4,Indianapolis|St. Louis|St. Louis-New Orleans
HNA,Hartford Dark Blues,NA,1874,1875,2,70,65,0,0,HR1,NA,1,
HAR,Hartford Dark Blues,N,1876,1877,2,78,48,0,0,HAR,NL,1,
HIL,Hilldale Club,N,1918,1932,15,428,331,3,1,HIL,EWL,1,
HG,Homestead Grays,N,1928,1948,21,583,379,9,3,HG,NN2,1,
HOU,Houston Astros,Y,1962,2025,64,5096,5040,5,2,HOU,AL,2,
ABC,Indianapolis ABCs,N,1914,1926,12,383,384,0,0,ABC,NNL,1,
BCA,Indianapolis ABCs/Atlanta Black Crackers,N,1932,1939,3,34,50,0,0,IAB,NAL,2,Atlanta
AB2,Indianapolis ABCs/Detroit Stars,N,1931,1933,3,64,71,0,0,ID,NN2,2,
IA,Indianapolis Athletics,N,1937,1937,1,17,21,0,0,IA,NAL,1,
IBL,Indianapolis Blues,N,1878,1878,1,24,36,0,0,IN1,NL,1,
IC,Indianapolis Clowns,N,1943,1948,6,186,249,0,0,IC,NAL,3,Cincinnati|Cincinnati-Indianapolis
IHO,Indianapolis Hoosiers,N,1884,1884,1,29,78,0,0,IN2,AA,1,
IND,Indianapolis Hoosiers,N,1887,1889,3,146,249,0,0,IN3,NL,1,
JRC,Jacksonville Red Caps,N,1938,1942,5,70,108,0,0,JRC,NAL,2,Jacksonville|Cleveland
KCU,Kansas City Cowboys,N,1884,1884,1,16,63,0,0,KCU,UA,1,
KCN,Kansas City Cowboys,N,1886,1886,1,30,91,0,0,KCN,NL,1,
KCC,Kansas City Cowboys,N,1888,1889,2,98,171,0,0,KC2,AA,1,
KCG,Kansas City Giants,N,1909,1910,2,19,20,0,0,KCG,WES,1,
