franchID,kind,label,firstYear,lastYear,teamID,lgID
CHP,name,Chicago Pirates,1890,1890,CHP,PL
CHP,location,Chicago,1890,1890,,
CIU,name,Chicago Unions,1897,1900,CU,IND
CIU,location,Chicago,1897,1900,,
CHH,name,Chicago Chi-Feds,1914,1914,CHF,FL
CHH,name,Chicago Whales,1915,1915,CHF,FL
CHH,location,Chicago,1914,1915,,
CHW,name,Chicago White Sox,1901,2025,CHA,AL
CHW,location,Chicago,1901,2025,,
CNA,name,Chicago White Stockings,1871,1875,CH2,NA
CNA,location,Chicago,1871,1875,,
CPI,name,Chicago/Pittsburgh (Union League),1884,1884,CHU,UA
CPI,location,Chicago-Pittsburgh,1884,1884,,
CKK,name,Cincinnati Kelly's Killers,1891,1891,CN3,AA
CKK,location,Cincinnati,1891,1891,,
COR,name,Cincinnati Outlaw Reds,1884,1884,CNU,UA
COR,location,Cincinnati,1884,1884,,
CNR,name,Cincinnati Reds,1876,1880,CN1,NL
CNR,location,Cincinnati,1876,1880,,
CIN,name,Cincinnati Red Stockings,1882,1889,CN2,AA
CIN,name,Cincinnati Reds,1890,1953,CIN,NL
CIN,name,Cincinnati Redlegs,1954,1959,CIN,NL
CIN,name,Cincinnati Reds,1960,2025,CIN,NL
CIN,location,Cincinnati,1882,2025,,
CT,name,Cincinnati Tigers,1937,1937,CT,NAL
CT,location,Cincinnati,1937,1937,,
CBL,name,Cleveland Blues,1879,1884,CL2,NL
CBL,location,Cleveland,1879,1884,,
CBN,name,Cleveland Browns,1924,1924,CBN,NNL
CBN,location,Cleveland,1924,1924,,
CBE,name,Cincinnati-Cleveland Buckeyes,1942,1942,CCB,NAL
CBE,name,Cleveland Buckeyes,1943,1948,CBE,NAL
CBE,location,Cincinnati-Cleveland,1942,1942,,
CBE,location,Cleveland,1943,1948,,
CEL,name,Cleveland Elites,1926,1926,CEL,NNL
CEL,location,Cleveland,1926,1926,,
CFC,name,Cleveland Forest Citys,1871,1872,CL1,NA
CFC,location,Cleveland,1871,1872,,
CLE,name,Cleveland Blues,1901,1901,CLE,AL
CLE,name,Cleveland Bronchos,1902,1902,CLE,AL
CLE,name,Cleveland Naps,1903,1914,CLE,AL
CLE,name,Cleveland Indians,1915,2021,CLE,AL
CLE,name,Cleveland Guardians,2022,2025,CLE,AL
CLE,location,Cleveland,1901,2025,,
CHT,name,Cleveland Hornets,1927,1927,CHT,NNL
CHT,location,Cleveland,1927,1927,,
CLI,name,Cleveland Infants,1890,1890,CLP,PL
CLI,location,Cleveland,1890,1890,,
CRS,name,Cleveland Red Sox,1934,1934,CRS,NN2
CRS,location,Cleveland,1934,1934,,
CLV,name,Cleveland Blues,1887,1888,CL3,AA
CLV,name,Cleveland Spiders,1889,1899,CL4,NL
CLV,location,Cleveland,1887,1899,,
CL2,name,Cleveland Stars,1932,1932,CLS,EWL
CL2,location,Cleveland,1932,1932,,
CTS,name,Cleveland Tate Stars,1922,1922,CTS,NNL
CTS,location,Cleveland,1922,1922,,
CTG,name,Cleveland Tigers,1928,1928,CTG,NNL
CTG,location,Cleveland,1928,1928,,
COL,name,Colorado Rockies,1993,2025,COL,NL
COL,location,Colorado,1993,2025,,
CBB,name,Columbus Blue Birds,1933,1933,CBB,NN2
CBB,location,Columbus,1933,1933,,
CBK,name,Columbus Buckeyes,1883,1884,CL5,AA
CBK,location,Columbus,1883,1884,,
COB,name,Columbus Buckeyes,1921,1921,COB,NNL
COB,location,Columbus,1921,1921,,
CLS,name,Columbus Solons,1889,1891,CL6,AA
CLS,location,Columbus,1889,1891,,
COT,name,Columbus Turf Club,1932,1932,COT,NSL
COT,location,Columbus,1932,1932,,
CBG,name,Cuban Giants,1891,1907,CBG,NAC
CSE,name,Cuban Stars East,1916,1929,CSE,ANL
CSW,name,Cuban Stars of Havana,1906,1915,CSH,WES
CSW,name,Cuban Stars West,1916,1920,CSW,NNL
CSW,name,Cincinnati Cuban Stars,1921,1921,CS,NNL
CSW,name,Cuban Stars West,1922,1930,CSW,NNL
CSW,location,Cincinnati,1921,1930,,
CXG,name,Cuban X Giants,1897,1906,CXG,EAS
DYM,name,Dayton Marcos,1920,1926,DM,NNL
DYM,location,Dayton,1920,1926,,
DS,name,Detroit Stars,1919,1931,DS,NNL
DS,location,Detroit,1919,1931,,
DTS,name,Detroit Stars,1937,1937,DTS,NAL
DTS,location,Detroit,1937,1937,,
DET,name,Detroit Tigers,1901,2025,DET,AL
DET,location,Detroit,1901,2025,,
DTN,name,Detroit Wolverines,1881,1888,DTN,NL
DTN,location,Detroit,1881,1888,,
DW,name,Detroit Wolves,1932,1932,DW,EWL
DW,location,Detroit,1932,1932,,
RES,name,Elizabeth Resolutes,1873,1873,ELI,NA
RES,location,Elizabeth,1873,1873,,
KEK,name,Fort Wayne Kekiongas,1871,1871,FW1,NA
KEK,location,Fort Wayne,1871,1871,,
FLP,name,French Lick Plutos,1913,1913,FLP,WES
FLP,location,French Lick,1913,1913,,
HBG,name,Harrisburg Giants,1924,1927,HBG,ECL
HBG,location,Harrisburg,1924,1927,,
SNH,name,Indianapolis ABCs,1938,1938,AB3,NAL
SNH,name,St. Louis Stars,1939,1939,SL3,NAL
SNH,name,St. Louis-New Orleans Stars,1940,1941,SNS,NAL
SNH,name,Harrisburg-St. Louis Stars,1943,1943,HSS,NN2
SNH,location,Indianapolis,1938,1938,,
SNH,location,St. Louis,1939,1943,,
HNA,name,Hartford Dark Blues,1874,1875,HR1,NA
HNA,location,Hartford,1874,1875,,
HAR,name,Hartford Dark Blues,1876,1877,HAR,NL
HAR,location,Hartford,1876,1877,,
HIL,name,Hilldale Club,1918,1932,HIL,EWL
HIL,location,Hilldale,1918,1932,,
HG,name,Homestead Grays,1928,1948,HG,NN2
HG,location,Homestead,1928,1948,,
HOU,name,Houston Colt .45's,1962,1964,HOU,NL
HOU,name,Houston Astros,1965,2025,HOU,AL
HOU,location,Houston,1962,2025,,
ABC,name,Indianapolis ABCs,1914,1926,ABC,NNL
ABC,location,Indianapolis,1914,1926,,
BCA,name,Atlanta Black Crackers,1932,1938,BCA,NAL
BCA,name,Indianapolis ABCs/Atlanta Black Crackers,1939,1939,IAB,NAL
BCA,location,Atlanta,1932,1938,,
BCA,location,Indianapolis,1939,1939,,
AB2,name,Indianapolis ABCs,1931,1932,AB2,NSL
AB2,name,Indianapolis ABCs/Detroit Stars,1933,1933,ID,NN2
AB2,location,Indianapolis,1931,1933,,
IA,name,Indianapolis Athletics,1937,1937,IA,NAL
IA,location,Indianapolis,1937,1937,,
