playerID,yearid,votedBy,category
klembi99,1953,Veterans,Umpire
koufasa01,1972,BBWAA,Player
kuhnbo99,2008,Veterans - Executives,Executive
lajoina01,1937,BBWAA,Player
landike99,1944,Old Timers,Pioneer/Executive
larkiba01,2012,BBWAA,Player
larusto01,2014,Veterans - Expansion Era,Manager
lasorto01,1997,Veterans,Manager
lazzeto01,1991,Veterans,Player
lemonbo01,1976,BBWAA,Player
leonabu99,1972,Negro League,Player
leylaji99,2024,Contemporary Baseball Era Non-Players,Manager
lindsfr01,1976,Veterans,Player
lloydpo99,1977,Negro League,Player
lombaer01,1986,Veterans,Player
lopezal01,1977,Veterans,Manager
lyonste01,1955,BBWAA,Player
mackco01,1937,Centennial,Manager
mackebi99,2006,Negro League,Player
macphla99,1978,Veterans,Executive
macphle99,1998,Veterans,Executive
maddugr01,2014,BBWAA,Player
manleef99,2006,Negro League,Executive
mantlmi01,1974,BBWAA,Player
manushe01,1964,Veterans,Player
maranra01,1954,BBWAA,Player
maricju01,1983,BBWAA,Player
marquru01,1971,Veterans,Player
martied01,2019,BBWAA,Player
martipe02,2015,BBWAA,Player
mathech01,1936,BBWAA,Player
matheed01,1978,BBWAA,Player
mauerjo01,2024,BBWAA,Player
mayswi01,1979,BBWAA,Player
mazerbi01,2001,Veterans,Player
mccarjo99,1957,Veterans,Manager
mccarto01,1946,Old Timers,Player
mccovwi01,1986,BBWAA,Player
mcginjo01,1946,Old Timers,Player
mcgowbi99,1992,Veterans,Umpire
mcgrajo01,1937,Veterans,Manager
mcgrifr01,2023,Contemporary Era,Player
mckecbi01,1962,Veterans,Manager
mcphebi01,2000,Veterans,Player
medwijo01,1968,BBWAA,Player
mendejo99,2006,Negro League,Player
millema99,2020,Veterans - Modern Baseball Era,Executive
minosmi01,2022,Veterans - Golden Age Era,Player
mizejo01,1981,Veterans,Player
molitpa01,2004,BBWAA,Player
morgajo02,1990,BBWAA,Player
morrija02,2018,Veterans - Modern Baseball Era,Player
murraed02,2003,BBWAA,Player
musiast01,1969,BBWAA,Player
mussimi01,2019,BBWAA,Player
newhoha01,1992,Veterans,Player
nichoki01,1949,Old Timers,Player
niekrph01,1997,BBWAA,Player
odayha01,2013,Veterans - Pre-Integration Era,Umpire
olivato01,2022,Veterans - Golden Age Era,Player
omallwa99,2008,Veterans - Executives,Executive
oneilbu01,2022,Veterans - Early Baseball Era,Executive
orourji01,1945,Old Timers,Player
ortizda01,2022,BBWAA,Player
ottme01,1951,BBWAA,Player
paigesa01,1971,Negro League,Player
palmeji01,1990,BBWAA,Player
parkeda01,2025,Classic Baseball Era,Player
pennohe01,1948,BBWAA,Player
perezto01,2000,BBWAA,Player
perryga01,1991,BBWAA,Player
piazzmi01,2016,BBWAA,Player
planked01,1946,Old Timers,Player
pompeal99,2006,Negro League,Executive
poseycu99,2006,Negro League,Executive
puckeki01,2001,BBWAA,Player
radboch01,1939,Old Timers,Player
raineti01,2017,BBWAA,Player
reesepe01,1984,Veterans,Player
riceji01,2009,BBWAA,Player
ricesa01,1963,Veterans,Player
rickebr01,1967,Veterans,Executive
ripkeca01,2007,BBWAA,Player
riverma01,2019,BBWAA,Player
rixeyep01,1963,Veterans,Player
rizzuph01,1994,Veterans,Player
roberro01,1976,BBWAA,Player
robinbr01,1983,BBWAA,Player
robinfr02,1982,BBWAA,Player
robinja02,1962,BBWAA,Player
robinwi01,1945,Old Timers,Manager
rodriiv01,2017,BBWAA,Player
roganbu99,1998,Veterans,Player
rolensc01,2023,BBWAA,Player
roushed01,1962,Veterans,Player
ruffire01,1967,Run Off,Player
ruperja99,2013,Veterans - Pre-Integration Era,Executive
rusieam01,1977,Veterans,Player
ruthba01,1936,BBWAA,Player
ryanno01,1999,BBWAA,Player
sabatcc01,2025,BBWAA,Player
sandbry01,2005,BBWAA,Player
santolo99,2006,Negro League,Player
santoro01,2012,Veterans - Golden Era,Player
schalra01,1955,Veterans,Player
schmimi01,1995,BBWAA,Player
schoere01,1989,Veterans,Player
schurjo99,2017,Veterans - Today's Game Era,Executive
seaveto01,1992,BBWAA,Player
seleefr99,1999,Veterans,Manager
seligbu99,2017,Veterans - Today's Game Era,Executive
seweljo01,1977,Veterans,Player
simmoal01,1953,BBWAA,Player
simmote01,2020,Veterans - Modern Baseball Era,Player
sislege01,1939,BBWAA,Player
slaugen01,1985,Veterans,Player
smithhi99,2001,Veterans,Player
smithle02,2019,Veterans - Today's Game Era,Player
smithoz01,2002,BBWAA,Player
smoltjo01,2015,BBWAA,Player
snidedu01,1980,BBWAA,Player
southbi01,2008,Veterans - Managers and Umpires,Manager
spahnwa01,1973,BBWAA,Player
spaldal01,1939,Old Timers,Pioneer/Executive
speaktr01,1937,BBWAA,Player
stargwi01,1988,BBWAA,Player
steartu99,2000,Veterans,Player
stengca01,1966,Veterans,Manager
suttebr01,2006,BBWAA,Player
suttlmu99,2006,Negro League,Player
suttodo01,1998,BBWAA,Player
suzukic01,2025,BBWAA,Player
taylobe99,2006,Negro League,Player
terrybi01,1954,BBWAA,Player
thomafr04,2014,BBWAA,Player
thomeji01,2018,BBWAA,Player
thompsa01,1974,Veterans,Player
tinkejo01,1946,Old Timers,Player
torrejo01,2014,Veterans - Expansion Era,Manager
torricr99,2006,Negro League,Player
trammal01,2018,Veterans - Modern Baseball Era,Player
traynpi01,1948,BBWAA,Player
vanceda01,1955,BBWAA,Player
vaughar01,1985,Veterans,Player
veeckbi99,1991,Veterans,Executive
wadderu01,1946,Old Timers,Player
wagnebi02,2025,BBWAA,Player
wagneho01,1936,BBWAA,Player
walkela01,2020,BBWAA,Player
wallabo01,1953,Veterans,Player
walshed01,1946,Old Timers,Player
wanerll01,1967,Veterans,Player
wanerpa01,1952,BBWAA,Player
wardjo01,1964,Veterans,Player
weaveea99,1996,Veterans,Manager
weissge99,1971,Veterans,Executive
welchmi01,1973,Veterans,Player
wellswi99,1997,Veterans,Player
wheatza01,1959,Veterans,Player
whitede01,2013,Veterans - Pre-Integration Era,Player
whiteso99,2006,Negro League,Executive
wilheho01,1985,BBWAA,Player
wilkijl99,2006,Negro League,Executive
willibi01,1987,BBWAA,Player
willidi02,2008,Veterans - Managers and Umpires,Manager
willijo99,1999,Veterans,Player
willite01,1966,BBWAA,Player
willivi01,1995,Veterans,Player
wilsoha01,1979,Veterans,Player
wilsoju99,2006,Negro League,Player
winfida01,2001,BBWAA,Player
wrighge01,1937,Centennial,Pioneer/Executive
wrighha01,1953,Veterans,Pioneer
wynnea01,1972,BBWAA,Player
yastrca01,1989,BBWAA,Player
yawketo99,1980,Veterans,Executive
youngcy01,1937,BBWAA,Player
youngro01,1972,Veterans,Player
yountro01,1999,BBWAA,Player
