yearID,lgID,divID,teamID,franchID,name,Rank,G,W,L,R,RA,WSWin,LgWin
1880,NL,,BFN,BUF,Buffalo Bisons,7,85,24,58,331,502,,N
1880,NL,,BSN,ATL,Boston Red Caps,6,86,40,44,416,456,,N
1880,NL,,CHN,CHC,Chicago White Stockings,1,86,67,17,538,317,,Y
1880,NL,,CL2,CBL,Cleveland Blues,3,85,47,37,387,337,,N
1880,NL,,CN1,CNR,Cincinnati Reds,8,83,21,59,296,472,,N
1880,NL,,PRO,PRO,Providence Grays,2,87,52,32,419,299,,N
1880,NL,,TRN,TRT,Troy Trojans,4,83,41,42,392,438,,N
1880,NL,,WOR,WOR,Worcester Ruby Legs,5,85,40,43,412,370,,N
1881,NL,,BFN,BUF,Buffalo Bisons,3,83,45,38,440,447,,N
1881,NL,,BSN,ATL,Boston Red Caps,6,83,38,45,347,410,,N
1881,NL,,CHN,CHC,Chicago White Stockings,1,84,56,28,550,380,,Y
1881,NL,,CL2,CBL,Cleveland Blues,7,85,36,48,392,414,,N
1881,NL,,DTN,DTN,Detroit Wolverines,4,84,41,43,440,429,,N
1881,NL,,PRO,PRO,Providence Grays,2,85,47,37,447,426,,N
1881,NL,,TRN,TRT,Troy Trojans,5,85,39,45,399,427,,N
1881,NL,,WOR,WOR,Worcester Ruby Legs,8,83,32,50,410,492,,N
1882,NL,,BFN,BUF,Buffalo Bisons,3,84,45,39,500,461,,N
1882,AA,,BL2,BLO,Baltimore Orioles,6,74,19,54,272,513,,N
1882,NL,,BSN,ATL,Boston Red Caps,3,85,45,39,472,414,,N
1882,NL,,CHN,CHC,Chicago White Stockings,1,84,55,29,604,353,,Y
1882,NL,,CL2,CBL,Cleveland Blues,5,84,42,40,402,411,,N
1882,AA,,CN2,CIN,Cincinnati Red Stockings,1,80,55,25,489,268,,Y
1882,NL,,DTN,DTN,Detroit Wolverines,5,86,42,41,407,488,,N
1882,AA,,LS2,LOU,Louisville Eclipse,2,79,42,38,443,352,,N
1882,AA,,PH4,PHA,Philadelphia Athletics,3,75,41,34,406,389,,N
1882,NL,,PRO,PRO,Providence Grays,2,84,52,32,463,356,,N
1882,AA,,PT1,PIT,Pittsburg Alleghenys,4,79,39,39,426,417,,N
1882,AA,,SL4,STL,St. Louis Brown Stockings,5,79,37,43,399,496,,N
1882,NL,,TRN,TRT,Troy Trojans,7,85,35,48,430,522,,N
1882,NL,,WOR,WOR,Worcester Ruby Legs,8,84,18,66,379,652,,N
1883,NL,,BFN,BUF,Buffalo Bisons,5,98,52,45,614,576,,N
1883,AA,,BL2,BLO,Baltimore Orioles,8,96,28,68,471,742,,N
1883,NL,,BSN,ATL,Boston Beaneaters,1,98,63,35,669,456,,Y
1883,NL,,CHN,CHC,Chicago White Stockings,2,98,59,39,679,540,,N
1883,NL,,CL2,CBL,Cleveland Blues,4,100,55,42,476,443,,N
1883,AA,,CL5,CBK,Columbus Buckeyes,6,97,32,65,476,659,,N
1883,AA,,CN2,CIN,Cincinnati Red Stockings,3,98,61,37,662,413,,N
1883,NL,,DTN,DTN,Detroit Wolverines,7,101,40,58,524,650,,N
1883,AA,,LS2,LOU,Louisville Eclipse,5,98,52,45,564,562,,N
1883,NL,,NY1,SFG,New York Gothams,6,98,46,50,530,577,,N
1883,AA,,NY4,NYP,New York Metropolitans,4,97,54,42,498,405,,N
1883,AA,,PH4,PHA,Philadelphia Athletics,1,98,66,32,720,547,,Y
1883,NL,,PHI,PHI,Philadelphia Quakers,8,99,17,81,437,887,,N
1883,NL,,PRO,PRO,Providence Grays,3,98,58,40,636,436,,N
1883,AA,,PT1,PIT,Pittsburg Alleghenys,7,98,31,67,525,728,,N
1883,AA,,SL4,STL,St. Louis Browns,2,98,65,33,549,409,,N
1884,UA,,ALT,ALT,Altoona Mountain City,10,25,6,19,90,216,,N
1884,NL,,BFN,BUF,Buffalo Bisons,3,114,64,47,700,626,N,N
1884,AA,,BL2,BLO,Baltimore Orioles,6,108,63,43,636,515,N,N
1884,UA,,BLU,BLU,Baltimore Monumentals,4,105,58,47,662,627,,N
1884,AA,,BR3,LAD,Brooklyn Atlantics,9,109,40,64,476,644,N,N
1884,NL,,BSN,ATL,Boston Beaneaters,2,116,73,38,684,468,N,N
1884,UA,,BSU,BRD,Boston Reds,5,109,58,51,636,558,,N
1884,NL,,CHN,CHC,Chicago White Stockings,5,112,62,50,834,647,N,N
1884,UA,,CHU,CPI,Chicago/Pittsburgh (Union League),6,92,41,50,438,482,,N
1884,NL,,CL2,CBL,Cleveland Blues,7,113,35,77,458,716,N,N
1884,AA,,CL5,CBK,Columbus Buckeyes,2,110,69,39,585,459,N,N
1884,AA,,CN2,CIN,Cincinnati Red Stockings,5,112,68,41,754,512,N,N
1884,UA,,CNU,COR,Cincinnati Outlaw Reds,3,103,69,36,703,466,,N
1884,NL,,DTN,DTN,Detroit Wolverines,8,114,28,84,445,736,N,N
1884,AA,,IN2,IHO,Indianapolis Hoosiers,12,110,29,78,462,755,N,N
1884,UA,,KCU,KCU,Kansas City Cowboys,11,82,16,63,311,618,,N
1884,AA,,LS2,LOU,Louisville Eclipse,3,110,68,40,573,425,N,N
1884,UA,,MLU,MLU,Milwaukee Brewers,2,12,8,4,53,34,,N
1884,NL,,NY1,SFG,New York Gothams,4,116,62,50,693,623,N,N
1884,AA,,NY4,NYP,New York Metropolitans,1,112,75,32,734,423,N,Y
1884,AA,,PH4,PHA,Philadelphia Athletics,7,108,61,46,700,546,N,N
1884,NL,,PHI,PHI,Philadelphia Quakers,6,113,39,73,549,824,N,N
1884,UA,,PHU,PHK,Philadelphia Keystones,8,67,21,46,414,545,,N
1884,NL,,PRO,PRO,Providence Grays,1,114,84,28,665,388,Y,Y
1884,AA,,PT1,PIT,Pittsburg Alleghenys,11,110,30,78,406,725,N,N
1884,AA,,RIC,RIC,Richmond Virginians,10,45,12,30,194,294,N,N
1884,AA,,SL4,STL,St. Louis Browns,4,110,67,40,658,539,N,N
1884,UA,,SLU,SLM,St. Louis Maroons,1,113,94,19,887,429,,Y
1884,UA,,SPU,STP,St. Paul White Caps,9,9,2,6,24,57,,N
1884,AA,,TL1,TOL,Toledo Blue Stockings,8,109,46,58,463,571,N,N
1884,UA,,WIL,WIL,Wilmington Quicksteps,12,17,2,16,35,114,,N
1884,AA,,WS7,WST,Washington Nationals,13,63,12,51,248,481,N,N
